               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.03636,           0.0096754,           0.0076492,              0.9207,             0.97984,              0.9799,             0.57627,            0.033663,           0.0051637,           0.0051019,           0.0089902,           0.0089902,           0.0089902
                  53,            0.037298,           0.0097508,           0.0065596,             0.94659,             0.97941,             0.98765,             0.51923,            0.038065,           0.0050255,            0.004604,           0.0089704,           0.0089704,           0.0089704
                  54,            0.038785,            0.010195,           0.0076002,             0.99005,             0.99167,             0.99275,             0.63739,            0.031587,           0.0050212,           0.0047376,           0.0089506,           0.0089506,           0.0089506
                  55,            0.036543,           0.0096667,           0.0081407,             0.97638,             0.97793,             0.99375,             0.58333,            0.028205,           0.0050281,           0.0050801,           0.0089308,           0.0089308,           0.0089308
                  56,            0.035363,           0.0098982,           0.0072432,             0.99797,                   1,               0.995,             0.59027,            0.031413,            0.005048,           0.0038368,            0.008911,            0.008911,            0.008911
                  57,            0.039228,            0.010841,           0.0070981,             0.95931,             0.96545,             0.99296,             0.54896,            0.032965,             0.00517,           0.0046339,           0.0088912,           0.0088912,           0.0088912
                  58,            0.039041,            0.010389,           0.0065916,             0.91336,             0.94076,             0.97933,             0.45617,            0.033573,            0.005237,            0.006716,           0.0088714,           0.0088714,           0.0088714
                  59,            0.035718,            0.010506,            0.007379,             0.99668,             0.97878,             0.99478,             0.53865,            0.030577,           0.0049924,           0.0040728,           0.0088516,           0.0088516,           0.0088516
                  60,            0.035372,           0.0099276,           0.0065958,             0.96078,                   1,             0.99387,              0.6599,            0.029543,           0.0048974,           0.0035546,           0.0088318,           0.0088318,           0.0088318
                  61,            0.036659,            0.010133,           0.0064488,             0.99848,                   1,               0.995,             0.57482,            0.031805,           0.0049939,           0.0034227,            0.008812,            0.008812,            0.008812
                  62,            0.033024,           0.0095488,           0.0080921,             0.99259,                   1,               0.995,              0.5714,            0.030809,           0.0048229,           0.0033947,           0.0087922,           0.0087922,           0.0087922
                  63,             0.03851,           0.0095349,           0.0058905,             0.99711,                   1,               0.995,             0.64084,            0.024666,           0.0048006,           0.0036422,           0.0087724,           0.0087724,           0.0087724
                  64,            0.036333,           0.0091669,           0.0062102,             0.99656,             0.99135,               0.995,             0.52336,            0.028473,           0.0050478,           0.0046388,           0.0087526,           0.0087526,           0.0087526
                  65,            0.037288,           0.0096806,            0.005671,             0.99713,                   1,               0.995,             0.57808,            0.030873,            0.004879,           0.0038757,           0.0087328,           0.0087328,           0.0087328
                  66,            0.036426,           0.0097919,           0.0063736,             0.99706,                   1,               0.995,             0.56322,            0.030927,           0.0049504,           0.0039998,            0.008713,            0.008713,            0.008713
                  67,            0.031676,           0.0086284,           0.0068616,             0.98715,             0.99219,             0.99171,             0.56974,            0.036412,            0.004924,           0.0037229,           0.0086932,           0.0086932,           0.0086932
                  68,            0.034525,           0.0093726,           0.0077452,             0.99614,                   1,               0.995,             0.68629,            0.024721,           0.0047945,           0.0036562,           0.0086734,           0.0086734,           0.0086734
                  69,            0.031699,           0.0096605,           0.0061776,             0.98666,             0.99919,               0.995,             0.61084,            0.026867,           0.0047886,           0.0038906,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032968,           0.0099251,           0.0058169,             0.99827,                   1,               0.995,             0.57441,             0.02895,           0.0047782,           0.0035301,           0.0086338,           0.0086338,           0.0086338
                  71,            0.033613,            0.009679,           0.0061542,             0.99818,                   1,               0.995,               0.664,             0.02764,           0.0046649,           0.0035076,            0.008614,            0.008614,            0.008614
                  72,            0.032868,           0.0093791,            0.005314,             0.97142,                   1,              0.9887,             0.62835,            0.025896,           0.0046948,           0.0035995,           0.0085942,           0.0085942,           0.0085942
                  73,            0.032905,           0.0088553,            0.006637,             0.95244,             0.98654,             0.98459,             0.59714,            0.026945,           0.0048234,           0.0043024,           0.0085744,           0.0085744,           0.0085744
                  74,            0.034436,           0.0096298,            0.006136,             0.99566,                   1,               0.995,             0.67607,            0.023689,           0.0047403,           0.0042308,           0.0085546,           0.0085546,           0.0085546
                  75,              0.0326,           0.0089656,           0.0071677,             0.99114,              0.9934,             0.98854,             0.59224,            0.025272,           0.0048132,           0.0043762,           0.0085348,           0.0085348,           0.0085348
                  76,            0.031908,           0.0086953,           0.0051684,             0.99727,                   1,               0.995,             0.66396,            0.028358,           0.0047561,           0.0038148,            0.008515,            0.008515,            0.008515
                  77,            0.032356,           0.0090124,           0.0058929,             0.93408,             0.93437,             0.97023,             0.58088,            0.027855,           0.0048195,            0.008346,           0.0084952,           0.0084952,           0.0084952
